season,gameweek,bboost,3xc,freehit
2017-18,1,10.0485,6.9405,4.9435
2017-18,2,12.1095,6.272,4.431000000000012
2017-18,3,12.4975,6.0985,4.5959999999999965
2017-18,4,13.37,4.988,3.432000000000002
2017-18,5,9.711,7.3785,2.3795000000000073
2017-18,6,12.137,5.741,9.478999999999992
2017-18,7,8.995000000000001,5.645,6.589500000000008
2017-18,8,12.329,8.011,7.095000000000006
2017-18,9,12.7805,5.5445,3.6385000000000005
2017-18,10,12.7015,5.596,8.515499999999989
2017-18,11,14.6995,6.3285,1.1215000000000046
2017-18,12,11.121,6.231,6.1739999999999995
2017-18,13,8.15,6.013,6.5504999999999995
2017-18,14,10.553,6.0385,10.088499999999996
2017-18,15,8.1145,7.156,7.929000000000002
2017-18,16,8.33,6.5075,7.865000000000009
2017-18,17,6.6975,6.6585,4.954499999999989
2017-18,18,8.618,6.375,6.4325000000000045
2017-18,19,11.216000000000001,6.89,5.957999999999998
2017-18,20,7.7265,7.25,4.291499999999992
2017-18,21,7.348999999999999,7.276,7.191499999999998
2017-18,22,5.399500000000001,12.608,26.560999999999986
2017-18,23,6.200499999999999,5.67,5.4565000000000055
2017-18,24,13.585499999999998,6.7,3.857500000000009
2017-18,25,6.315999999999999,7.37,6.03799999999999
2017-18,26,10.3505,6.009,6.488999999999997
2017-18,27,10.9465,6.696,8.296
2017-18,28,12.133500000000002,8.936,2.898999999999994
2017-18,29,11.382000000000001,7.946,6.103999999999992
2017-18,30,11.125,5.579,10.658999999999992
2017-18,31,2.717,8.3325,10.136000000000003
2017-18,32,10.2595,7.397,7.235499999999988
2017-18,33,8.485,6.3335,5.3089999999999975
2017-18,34,13.962499999999999,9.377,11.488000000000014
2017-18,35,3.012,6.8895,5.994999999999997
2017-18,36,12.711,9.914,7.179999999999978
2017-18,37,10.9755,14.6035,14.201000000000008
2017-18,38,8.481,8.7055,12.143500000000003
2018-19,1,9.7595,8.762,5.774499999999989
2018-19,2,13.908999999999999,7.399,2.2340000000000018
2018-19,3,10.0855,7.9535,4.034999999999997
2018-19,4,9.512,6.9765,5.634500000000003
2018-19,5,11.582,6.4625,6.831499999999998
2018-19,6,9.1965,7.075,9.351499999999994
2018-19,7,10.900500000000001,6.898,6.0655
2018-19,8,10.936,5.978,6.178000000000004
2018-19,9,11.688,6.5875,6.650000000000013
2018-19,10,11.0255,9.1425,7.403500000000001
2018-19,11,12.781,6.1835,4.479999999999997
2018-19,12,9.578500000000002,9.952,8.562499999999993
2018-19,13,12.687000000000001,6.96,4.676999999999985
2018-19,14,10.8145,7.9995,10.501000000000012
2018-19,15,10.0725,6.4235,3.8769999999999953
2018-19,16,11.695,7.0195,5.440999999999988
2018-19,17,6.900500000000001,6.797,7.8644999999999925
2018-19,18,10.232499999999998,6.266,7.431999999999995
2018-19,19,12.3585,7.783,7.865499999999997
2018-19,20,11.751999999999999,7.8245,7.161000000000001
2018-19,21,9.817499999999999,7.5925,4.347500000000004
2018-19,22,6.6075,6.903,6.891999999999996
2018-19,23,6.282,7.7865,8.382000000000005
2018-19,24,5.2044999999999995,8.2385,10.544000000000011
2018-19,25,5.327500000000001,9.2185,22.66200000000002
2018-19,26,8.2095,8.345,9.767499999999991
2018-19,27,7.2235,7.138,5.429500000000004
2018-19,28,11.262500000000001,7.869,13.276499999999992
2018-19,29,12.3185,5.791,7.311500000000002
2018-19,30,12.027000000000001,8.055,9.045000000000002
2018-19,31,0.0,7.816,7.584500000000013
2018-19,32,14.325,14.9745,16.450500000000005
2018-19,33,0.0,6.5185,7.880499999999998
2018-19,34,13.6885,9.513,12.725999999999999
2018-19,35,18.093,10.0685,5.397000000000006
2018-19,36,11.987,8.392,5.859999999999999
2018-19,37,9.6215,6.0775,6.738000000000014
2018-19,38,8.9535,6.533,10.29849999999999
2019-20,1,9.3675,8.02,8.612500000000004
2019-20,2,9.9575,6.919,6.674999999999997
2019-20,3,9.368500000000001,6.917,4.706500000000013
2019-20,4,9.828,7.5625,4.4495000000000005
2019-20,5,9.7875,6.913,9.2945
2019-20,6,6.698499999999999,7.3335,9.253500000000003
2019-20,7,7.912999999999999,6.596,4.434500000000007
2019-20,8,9.48,8.5505,5.832999999999998
2019-20,9,12.2245,6.3935,6.0645000000000024
2019-20,10,9.3615,6.911,6.497
2019-20,11,7.76,7.6725,7.5334999999999965
2019-20,12,10.4085,5.0195,8.935500000000005
2019-20,13,9.556,6.374,9.441000000000003
2019-20,14,10.1555,7.032,10.591499999999996
2019-20,15,12.8285,6.3855,6.819000000000003
2019-20,16,13.3485,6.3315,4.915999999999997
2019-20,17,12.109499999999999,6.8625,7.290499999999994
2019-20,18,7.7509999999999994,5.5615,7.222500000000004
2019-20,19,7.981999999999999,5.82,5.257999999999996
2019-20,20,8.7735,6.0075,5.816500000000005
2019-20,21,7.374500000000001,5.6925,6.134500000000003
2019-20,22,10.3565,6.9985,7.4040000000000035
2019-20,23,11.155000000000001,6.054,7.6235
2019-20,24,11.683,11.894,1.8114999999999952
2019-20,25,14.004999999999999,8.2285,2.1899999999999977
2019-20,26,11.2665,7.758,7.677499999999988
2019-20,27,11.591,7.817,4.333000000000013
2019-20,28,0.0,6.6255,6.747499999999995
2019-20,29,12.228000000000002,7.354,9.515
2019-20,39,13.325499999999998,11.952,16.8245
2019-20,40,10.1015,5.7965,7.030999999999999
2019-20,41,9.869,6.0505,6.720500000000001
2019-20,42,11.2435,8.2025,6.7545
2019-20,43,9.036,5.849,6.333500000000008
2019-20,44,10.888,7.515,5.830999999999996
2019-20,45,11.189,5.6595,10.905999999999999
2019-20,46,11.875499999999999,6.2365,5.658000000000001
2019-20,47,10.319999999999999,7.7135,9.302500000000002
2020-21,1,10.3605,6.911,2.269999999999996
2020-21,2,12.1435,5.9125,6.167499999999997
2020-21,3,10.52,6.6735,7.5604999999999976
2020-21,4,9.641499999999999,7.192,8.519000000000005
2020-21,5,8.1555,6.8405,5.769000000000013
2020-21,6,8.9975,6.916,8.88300000000001
2020-21,7,8.939,7.2185,8.129500000000007
2020-21,8,8.687,6.68,8.287500000000001
2020-21,9,9.3085,5.602,10.06349999999999
2020-21,10,10.6855,7.3,7.110999999999997
2020-21,11,11.4675,8.5365,7.140499999999989
2020-21,12,12.600000000000001,7.9165,4.202999999999996
2020-21,13,10.591499999999998,6.707,8.146999999999998
2020-21,14,9.543000000000001,6.684,7.663999999999994
2020-21,15,8.532499999999999,8.0135,9.7395
2020-21,16,2.9795000000000003,6.771,7.441999999999993
2020-21,17,7.7395,7.2565,9.970500000000001
2020-21,18,3.986,7.056,6.195500000000003
2020-21,19,16.3175,13.1765,12.563999999999993
2020-21,20,11.7075,7.561,4.601999999999997
2020-21,21,10.003499999999999,7.2525,6.475000000000001
2020-21,22,9.897,7.9555,4.682000000000009
2020-21,23,12.0745,8.494,5.658999999999999
2020-21,24,13.24,12.4,15.847500000000025
2020-21,25,11.593,10.138,5.798500000000004
2020-21,26,16.7785,12.163,26.3365
2020-21,27,11.628499999999999,12.3505,10.958000000000013
2020-21,28,12.1745,6.8985,7.13000000000001
2020-21,29,1.4395,4.651,6.355000000000004
2020-21,30,12.073999999999998,6.994,3.264000000000003
2020-21,31,10.084,6.8885,8.635499999999986
2020-21,32,12.158000000000001,10.894,6.201999999999998
2020-21,33,4.046,5.956,5.336499999999987
2020-21,34,4.132,6.0665,5.846000000000011
2020-21,35,14.472,15.9545,14.120499999999993
2020-21,36,3.391,7.2855,6.590000000000003
2020-21,37,12.486999999999998,6.644,6.307499999999997
2020-21,38,11.355,7.2985,3.4520000000000053
2021-22,1,11.814,6.9715,6.174999999999997
2021-22,2,12.750499999999999,7.09,4.831999999999994
2021-22,3,11.2795,6.9905,5.143999999999991
2021-22,4,11.1415,6.355,4.135000000000005
2021-22,5,12.553999999999998,7.093,5.698999999999991
2021-22,6,10.71,5.973,7.6669999999999945
2021-22,7,10.8955,6.222,7.884499999999974
2021-22,8,10.182,7.0235,7.182499999999997
2021-22,9,10.062,5.771,7.3160000000000025
2021-22,10,9.562000000000001,6.8255,6.971499999999999
2021-22,11,10.199000000000002,6.405,5.430500000000009
2021-22,12,9.6015,6.637,8.11950000000001
2021-22,13,6.456,7.9915,11.258000000000003
2021-22,14,9.391,6.3305,7.669499999999999
2021-22,15,10.728,7.5845,10.68200000000001
2021-22,16,2.2865,7.7215,8.183500000000002
2021-22,17,8.5815,8.4455,9.641499999999994
2021-22,18,0.0,5.897,8.9225
2021-22,19,4.6975,6.65,10.521999999999998
2021-22,20,7.4645,6.75,6.206000000000003
2021-22,21,11.7065,10.637,6.542000000000016
2021-22,22,12.277999999999999,7.1725,17.708
2021-22,23,12.5215,7.371,7.506999999999998
2021-22,24,11.3295,6.011,6.6785
2021-22,25,6.9270000000000005,5.1645,27.769000000000005
2021-22,26,22.487000000000002,15.3885,12.100499999999997
2021-22,27,6.5885,8.477,8.859999999999992
2021-22,28,14.467500000000001,10.062,5.688000000000002
2021-22,29,12.64,11.179,16.7325
2021-22,30,0.0,5.335,1.4210000000000065
2021-22,31,15.020999999999999,6.462,12.542499999999997
2021-22,32,11.2095,5.715,3.0335000000000036
2021-22,33,10.4655,10.277,6.960499999999982
2021-22,34,11.9395,9.125,11.071500000000015
2021-22,35,12.9935,6.614,6.267999999999994
2021-22,36,12.629,10.861,10.67900000000003
2021-22,37,14.842,8.756,11.094000000000008
2021-22,38,6.56,7.85,10.985999999999997
2022-23,1,10.320500000000001,6.5085,7.649000000000001
2022-23,2,11.2565,6.3045,0.5670000000000144
2022-23,3,11.668999999999999,5.0185,2.3095
2022-23,4,11.541,8.5385,8.728499999999997
2022-23,5,10.869499999999999,6.729,9.28949999999999
2022-23,6,11.1695,6.514,9.540500000000002
2022-23,8,4.955,4.883,8.962499999999999
2022-23,9,11.141499999999999,6.7925,6.864999999999988
2022-23,10,11.8,6.1225,9.787499999999987
2022-23,11,8.977500000000001,5.5565,7.971499999999999
2022-23,12,5.5175,6.9295,5.671500000000002
2022-23,13,8.709999999999999,7.458,10.949499999999986
2022-23,14,9.5845,7.932,7.502500000000005
2022-23,15,6.7595,5.323,11.420000000000002
2022-23,16,9.698,8.1925,6.5859999999999985
2022-23,17,8.623999999999999,5.585,7.512000000000008
2022-23,18,8.2575,7.6055,9.070500000000003
2022-23,19,9.12,7.051,6.4405
2022-23,20,15.686,10.598,5.7194999999999965
2022-23,21,8.177000000000001,6.2595,3.7704999999999913
2022-23,22,13.829500000000001,11.648,7.138500000000008
